author,content,time
 扬帆启航??,"
            跪求 曹丞相 各种手机壁纸
        ","
            10-22        "
 loverx♂,"
            一楼祭度娘
        ","
            10-22        "
 豪杰目,"
            1.秦始皇，这皇帝的名号他创的。。千古一帝 2.曹老板，虽然自己未称帝，但死后来追封了 3.他只存在我的
        ","
            10-21        "
 至甲耳,"
            你们普遍多少岁啊
        ","
            10-19        "
 来♂乖乖站好,"
            最喜欢曹操哪首诗??
        ","
            10-19        "
 高叶天人,"
            曹操屠城真英雄，刘备亲民真小人。这句话不知道是从哪里兴起来的，在b站，几乎每个关于曹操和刘备的视频评论区里都会出现这么一句话，然后就开始bla一顿刘备仁义、真英雄一类的话，说一句曹老板的好话都会被围攻哟。说实话，说刘备比曹操奸诈的话我看到过很多，但真没看到过曹操屠城真性情之类的言论，说这句话的基本都是大耳粉在那里带节奏。真是够无聊的哈
        ","
            10-19        "
 陈99Ω,"
            魏文帝曹丕究竟算是个怎样的皇帝？
        ","
            10-20        "
 倾城国色??,"
            看到这一集曹操下线了 心里难过死了 眼泪哗哗流今晚怕是要失眠了曹操家境不错自身综合条件也很优秀他的死是自己病死的不是被仇家屠杀最起码这点还是好想一些。
        ","
            10-20        "
 牡丹丢了,"
            我真是被逗乐了
        ","
            10-20        "
 o拉帝亚斯o,"
            新建立的贴吧庞典许颜文，求关注，主要讨论庞德典韦许褚颜良文丑的武力问题。希望曹操吧的大大们关注一下。
        ","
            10-20        "
 蝶依abcde,"
            Rt.
        ","
            10-20        "
 柯南江户川o,"
            脸皮可以厚到什么程度
        ","
            10-20        "
 扬帆启航??,"
            【日常表白曹操】留下你最想对曹操说的话 君生我未生，我生君已老。 君恨我生迟，我恨君生早。 君生我未生，我生君已老。 恨不生同时， 日日与君好。 我生君未生，君生我已老。 我离君天涯，君隔我海角。 我生君未生，君生我已老。 化蝶去寻花，夜夜栖芳草。
        ","
            10-19        "
 费尔特里希,"
            “汉高祖，诛杀项羽而得天下；汉光武，诛杀王莽而得天下。这样的英雄，却生出这么一个拿不起刀来的
        ","
            10-19        "
 来来88888723,"
            笑了
        ","
            10-14        "
 大鹿乱撞o,"
            两汉经营事颇难，一朝失却旧江山。黄初欲学唐虞事，司马将来作样看。无意间看到的这样一首诗感触颇深，不知谁写的出自哪里
        ","
            10-15        "
 锦帆清浪,"

        ","
            10-16        "
 友盟李飞,"
            姜文版曹操电视剧什么时候开播啊
        ","
            10-15        "
 青淌,"
            为什么总人坚定不疑地认为曹丕会权谋可以把任何人玩弄于鼓掌之中？ 在那些人心目中，曹丕会权谋，会害人，手段高超，曹昂是被曹丕害死的，曹冲是被曹丕害死的，曹彰是被曹丕害死的，曹植是被曹丕害 死的（鬼魂作崇？），甚至曹操也是被曹丕害死的（是有人这么说过），反正各种阴谋论。如果有人反驳，那些人还会振振有词，说什么曹丕会权谋，如何如何。请问历史上的曹丕的权谋之术真的那么厉害吗？真的达到了炉火纯青可以整死所有人
        ","
            4-14        "
 扬帆启航??,"
            一个旅游主打卧龙的城市
        ","
            9-25        "
 夏目漱石--,"
            赤壁之战，曹操新收编的号称水军当中天下第一的荆州水军这张牌怎么没用上
        ","
            10-13        "
 ??鱼鱼鸭??,"
            三国志记曹操在徐州所过多残戮，在陈琳檄文中为什么没有出现？
        ","
            10-13        "
 1248ly??,"

        ","
            10-13        "
 何必苦苦追寻,"
            个人很喜欢曹操，雄才伟略。但不知为何，被历史黑出翔，很是心疼
        ","
            8-22        "
 小桃红本人,"
            不管也么说 孔融被黑成乱臣贼子也太过火了，汉献帝和曹操毫无矛盾，华佗自愿给曹操尝药而死 这改的太可怕了
        ","
            10-7        "
 生产摄像头??,"
            我们都知道，“正统”一般是指某王朝的合法继承者，史书上并没有“三国“这个朝代，按史书说法，这
        ","
            9-26        "
 生产摄像头??,"
            近代出了很多关于曹操的小说、电视、解读、戏剧、游戏等等，大家觉得哪个曹操的头像最好看
        ","
            10-7        "
 友盟李飞,"
            大爱曹操，太喜欢曹操了，能审时度势，在乱世中打出一番事业，魏武挥鞭 天下震动
        ","
            10-6        "
 友盟李飞,"
            祖国节日快乐。
        ","
            10-6        "
 UT不是神,"
            这是那一集
        ","
            10-5        "
 jiuquliuhe,"
            手机像素和拍照技术皆差，勿怪。从郑州下机后坐一小时长途巴士，终于到达曹魏古都。途经可能是发表曹魏相关文章最多的许昌学院，可惜没有学生証，无法进入图书馆看看是否很多三国专着。
        ","
            5-23        "
